iter	Passed	Remaining
278	415	1520
279	416	1517
280	418	1516
281	419	1513
282	420	1510
283	421	1508
284	422	1506
285	423	1502
286	425	1500
287	426	1497
288	427	1495
289	429	1495
290	431	1494
291	432	1492
292	433	1490
293	434	1486
294	436	1488
295	439	1489
296	440	1486
297	441	1484
298	443	1483
299	444	1481
300	445	1479
301	446	1476
302	447	1473
303	448	1470
304	450	1468
305	451	1465
306	452	1463
307	453	1461
308	455	1459
309	456	1457
310	457	1455
311	459	1455
312	460	1452
313	461	1450
314	463	1447
315	464	1445
316	465	1443
317	466	1440
318	467	1437
319	468	1435
320	469	1432
321	470	1430
322	472	1428
323	473	1426
324	474	1423
325	477	1425
326	478	1423
327	479	1420
328	480	1418
329	481	1415
330	482	1413
331	484	1411
332	485	1409
333	486	1407
334	487	1405
335	489	1404
336	490	1401
337	491	1399
338	492	1397
339	494	1396
340	495	1394
341	496	1391
342	497	1389
343	499	1386
344	500	1384
345	501	1382
346	502	1380
347	503	1378
348	505	1377
349	506	1375
350	508	1373
351	509	1371
352	510	1369
353	512	1368
354	513	1366
355	514	1364
356	515	1362
357	516	1360
358	518	1357
359	519	1355
360	520	1353
361	521	1351
362	522	1349
363	524	1348
364	525	1345
365	526	1344
366	528	1343
367	529	1341
368	531	1340
369	532	1338
370	533	1336
371	535	1334
372	536	1332
373	537	1330
374	538	1328
375	539	1326
376	540	1324
377	542	1322
378	543	1320
379	544	1318
380	545	1315
381	546	1314
382	547	1311
383	549	1309
384	550	1308
385	551	1306
386	553	1304
387	554	1303
388	555	1300
389	556	1298
390	557	1296
391	558	1293
392	560	1292
393	561	1291
394	562	1289
395	563	1287
396	564	1285
397	566	1283
398	567	1281
399	568	1279
400	569	1277
401	570	1275
402	572	1273
403	573	1271
404	574	1269
405	575	1267
406	576	1265
407	578	1264
408	579	1262
409	581	1261
410	583	1261
411	584	1259
412	586	1258
413	587	1256
414	588	1254
415	589	1252
416	590	1250
417	591	1248
418	593	1247
419	594	1245
420	596	1244
421	597	1243
422	599	1241
423	600	1239
424	601	1237
425	602	1235
426	603	1234
427	604	1232
428	606	1230
429	607	1229
430	609	1228
431	610	1225
432	611	1223
433	612	1222
434	613	1220
435	615	1219
436	616	1218
437	618	1216
438	619	1214
439	620	1212
440	621	1210
441	622	1208
442	623	1206
443	624	1204
444	626	1203
445	627	1201
446	628	1199
447	630	1198
448	631	1196
449	632	1194
450	634	1193
451	635	1191
452	636	1189
453	638	1189
454	639	1187
